blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13206395,1631389360,0xc12f9547166c0a545ae6570d6788842e9a9ecb4f1f46258864164c81b32b916c,419,0xfb3993c35976dd51f26e26f4ca4267318eef3ae6efd4f44a7ebf45d494b3dd0d,167,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xb17d98c36d2238ffcb27bf797ca9967b3cc9aa07,0,69465,59406195399,0,1,,46310,transaction,2751100908927690.0
13206403,1631389428,0x1ed90d97a0b8e618d1aab047494452025bcf34c55702c3e179893fe38bccf2d1,420,0xb82c8372fc00ee8d7d0cd89230e7b39c286f305983faa70d16afbc63d9d61d02,155,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xff4446e9df1c8281ce1d42610c3bc0342f93e4d7,0,192121,56451121652,0,1,,155301,transaction,8766915643677252.0
13206568,1631391593,0x180f574fa1f4ea72f66f40c083c50e8647fe5df20e01ba5798a6aae52bc85e73,421,0xd7e0dc9628cdf67cd58ff431a080e9292d4f84076ec527b355e9a72772bb0e7e,63,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,204690,61850927044,0,1,,125210,transaction,7744354575179240.0
13206645,1631392491,0x149c8aff0ff8673bc43747b2574b06bcb3dd973000b5bf83b5d2532e571a1d4b,422,0x7d1a3f41c57c595c1b37f607caefab75a0aa6f49da1ee5438afe6c667c36ec90,223,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,303078,46375818104,0,1,,294005,transaction,1.363472240166652e+16
13206781,1631394214,0x2b5d84425baacefb3278b1339051c8f30fd8a01ffc0e5daf03d91db9cf30ea8b,423,0xf3fe5b650eb3ef6cdd2b35e3c62b15f8fe7cf0a34b0a26d5b83d72ea7e47669d,146,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,136460,67897957360,0,1,,125210,transaction,8501503241045600.0
13212607,1631471820,0x83ddf1cdfb2acd0717f78f476b33c4e80329478c6002e031fe7a3e0144d99dc7,424,0x0ae5b26b78f9741dd1b82c2689d214248918933d6fc1c14dccff0ce7fd53bae6,524,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,1000000,67561505530,0,1,,95207,transaction,6432328256994710.0
13213152,1631479082,0xd6995900190380c012fcb20eaec32a6d811308baaa27c0274f01832d188fe8bb,425,0xef7679f505b6cf6e91a9085cb2eb94ee6a5c38add628e11e2ec59aacd97821b2,73,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,303078,145080731736,0,1,,294005,transaction,4.265446053404268e+16
13213350,1631481947,0x209d0b1420c92db6160affdea211aad15b6ea0764cde3fa08dcec69a89a9423b,426,0x59ecf890dabc28fdf9673c4fde7cab206cb6df33d5b0126e2f2a1deff2007abe,95,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x8e595470ed749b85c6f7669de83eae304c2ec68f,0,136460,79120200710,0,1,,125210,transaction,9906640330899100.0
13213376,1631482295,0xd91946d9f24b2967edd0ea68bbdc8fbc1040d13fbb2de3fc580d852b95fd9aea,427,0x1096c2b9c1d69732b234a2a779bfb1cccc7c0e62c76239e47ca5a71aa8ed1095,346,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,368650,57161780593,0,1,,232790,transaction,1.330669090424447e+16
13213526,1631484101,0x80aa67e977d35da9cd5e4c6c60fe2cd1ac2c409af55da001b7c0a3813dfc68f5,428,0x1ed2a3f581bc0cf1cf064439478900cb0e3095e23e5964426ef5a0d74e92c46e,198,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x41c84c0e2ee0b740cf0d31f63f3b6f627dc6b393,0,162341,66740209488,0,1,,150683,transaction,1.0056614986280304e+16
